918,Охотское территориальное управление Федерального агентства по рыболовству,45307,86,53511,61,59563,75,66626,78,67544,77,75234,99,65483,65,74684,63,77411,56,68,70,42,0.61
919,Приморское территориальное управление Федерального агентства по рыболовству,-1,-1,32573,105,34980,106,51151,24,50977,25,49725,24,47622,30,50146,30,-1,-1,42,53,0,0.98
920,Сахалино-Курильское территориальное управление Федерального агентства по рыболовству,34264,183,40908,110,46313,95,59122,114,57227,107,61826,108,62471,117,65754,111,71181,114,68,107,78,1.52
921,Северо-Восточное территориальное управление Федерального агентства по рыболовству,43262,165,47776,138,76053,201,75319,204,78582,217,95162,11,99877,18,117645,20,119950,11,68,177,25,1.65
922,Северо-Западное территориальное управление Федерального агентства по рыболовству,22841,159,21077,57,-1,-1,30447,100,29518,101,43345,334,44448,384,48980,217,54224,188,68,137,164,1.85
923,Средневолжское территориальное управление Федерального агентства по рыболовству,-1,-1,-1,-1,24929,157,44469,16,49126,21,46895,43,-1,-1,28844,111,-1,-1,27,15,-10,1.75
927,Управление Роспотребнадзора Воронежская область,21750,168,21800,167,26829,16,40199,14,32223,14,41928,12,45504,13,46298,11,60822,10,68,179,31,0.3
928,Управление Федеральной службы государственной регистрации, кадастра и картографии Воронежская область,32561,99,31835,122,35911,46,38998,33,60230,4,158985,4,91499,3,200015,3,116943,4,32,19,-9,1.05
931,Управление Россельхознадзора Воронежская и Липецкая области,-1,-1,21789,160,19887,140,24472,107,24559,80,28652,49,28249,100,33191,31,42007,31,51,92,-1,0.94
935,Территориальное управление Федеральной службы финансово-бюджетного надзора Воронежская область (ликвидировано 10.02.2016),21504,62,22973,59,51050,1,67632,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,6,1,0.36
978,Аппарат мэра и правительства города Москвы,193051,2,-1,-1,-1,-1,-1,-1,298984,15,285022,11,318555,9,-1,-1,-1,-1,4,6,0,8.5
979,Члены Правительства города Москвы,127391,59,68742,547,129438,640,222006,36,233857,15,125602,71,138213,100,205777,40,225963,41,68,77,63,3.18
980,Управление Федеральной службы судебных приставов Краснодарский край,18785,1455,19440,1573,20611,1377,93602,5,87500,7,117483,7,124506,12,104392,6,127603,2,58,455,-51,0.73
981,Министерство труда и социальной защиты,-1,-1,122903,357,108340,728,120085,716,140627,269,147933,209,159302,218,176344,209,183840,179,51,49,-6,1.24
982,Министерство по развитию Дальнего Востока и Арктики,-1,-1,73106,143,100850,108,137075,143,109779,149,105152,144,111593,140,109545,188,112160,167,51,53,62,3.0
984,Префектура Центрального административного округа,-1,-1,105494,58,127988,26,154709,24,160636,25,174081,25,74499,1,143486,101,165501,99,51,56,106,3.31
986,Управа района Крылатское,64633,11,70196,7,85589,14,77776,9,86618,12,89453,12,93898,26,-1,-1,167143,11,68,158,158,2.79
987,Префектура Северного административного округа,53377,46,59643,47,119432,33,105028,53,120633,59,120895,60,142200,55,117550,43,171499,46,68,221,221,2.12
988,Префектура Северо-Восточного административного округа,-1,-1,92685,66,96864,154,102988,161,104735,156,119743,160,124086,178,146887,174,182354,159,51,96,154,4.0
