Id	Name	2011	|2011|	2012	|2012|	2013	|2013|	2014	|2014|	2015	|2015|	2016	|2016|	2017	|2017|	2018	|2018|	2019	|2019|	2020	|2020|	Q1	PI	D1	V2	|V2|
1540	Серпухов - городской округ	-1	0	-1	0	-1	0	-1	0	1187569	17	775510.0	24	1165200.5	20	1189173	51	1241835.5	76	1261849	83	2,92	19	6	1,5	150
1541	Фрязино - городской округ	-1	0	-1	0	-1	0	-1	0	1214657	37	1118446	61	1815548	19	1387872.5	54	1459094.0	44	1484768	27	3,43	19	22	1,5	101
1542	Черноголовка - городской округ	-1	0	611000	39	647008.0	48	-1	0	798294	61	758131.0	80	788480	79	930230	77	1072287.5	74	-1	0	2,53	52	75	1,5	263
1543	Электрогорск - городской округ	-1	0	-1	0	574473.5	54	583872.5	56	645887.5	78	685798.0	64	762726.5	74	831008.0	84	846285.0	90	1180951.5	56	2,73	40	105	1,5	347
1544	Электросталь - городской округ	-1	0	-1	0	1461137	11	691041	121	796467.5	176	827844.0	184	967992	127	1033599.0	196	1201029	93	1244164.5	122	2,87	40	-14	2,32	518
1546	Власиха - городской округ (ЗАТО)	-1	0	717790.5	16	853365	45	900681.5	42	969262	49	1001422	53	1067378.5	48	1204539	51	1240378.0	54	1271417	51	2,94	55	77	1,5	296
1547	Восход - городской округ (ЗАТО)	-1	0	554469.5	6	-1	0	-1	0	591450.0	10	831808.0	8	-1	0	639851	11	780655	11	796284	11	1,84	55	43	0,83	34
1548	Звёздный городок - городской округ (ЗАТО)	-1	0	-1	0	-1	0	-1	0	877346	9	1035670	25	1145167.0	10	1240524	11	1097911.5	10	-1	0	2,59	16	25	1,6	29
1549	Краснознаменск - городской округ (ЗАТО)	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	1539360	21	1465387.5	20	-1	0	-1	0	3,67	4	-4	0,5	27
1550	Молодёжный - городской округ (ЗАТО)	-1	0	665202.0	8	587952.0	14	645565	13	579854.0	16	838532.5	18	886843.5	8	837839	13	1117465.0	14	-1	0	2,64	52	67	2,67	62
1552	Великий Новгород - городской округ	519529	121	622943	127	577012.0	124	608888.5	242	649738	301	721035	263	747803	245	784001.5	232	859024.5	234	892173	235	2,06	73	71	0,9	1525
1553	Батецкий район	418526	27	419572	21	398664	45	362087.0	56	383340.5	70	417813.0	72	466928	67	486743.0	68	494888.0	60	516863	67	1,19	73	23	1,0	400
1554	Боровичский район	-1	0	505449	61	531430	51	507227.0	110	541510.0	152	557999	153	554591	175	597745	161	617730	137	660397.5	140	1,53	55	30	1,0	771
1555	Валдайский район	404853.0	46	-1	0	462381	125	472447	63	487892	143	505762	85	486630.5	96	552010	83	547475	83	588078.5	72	1,36	73	45	1,0	456
1556	Волотовский район	354501	17	388917.5	32	423337	31	450319.5	28	429022	47	407112	65	482656	55	534963.0	52	518161.5	52	553633	53	1,28	73	56	1,0	270
1557	Демянский район	-1	0	525568	7	431736.5	8	550861.5	12	479939.5	20	481616.0	24	531138	31	589984	31	599491.5	30	-1	0	1,41	52	14	0,5	102
1558	Крестецкий район	435089	23	420673.0	46	437709.5	50	475959.0	62	460259.0	86	501432.0	64	564882.0	64	610913	61	591457	63	636404	53	1,47	73	46	1,1	382
